AA2479;EBC25;34;6.94
AA2485;LBA31;31;7.01
AA2488;LBA31;38;6.94
AA2491;LBA58;31;7.02
AA2493;EBA04;34;6.81
AA2495;LBA58;20;6.85
AA2498;LBA43;20;6.87
AA2555;LBA47;16;6.79
AA2559;LBA25;45;6.89
AA2563;LBC33;36;6.93
AA2566;LBC50;28;6.94
AA2568;LBA31;7;6.92
AA2589;LBA31;46;6.99
AA2595;LBA33;7;6.94
AA2596;LBA33;19;7
AA2605;LBC31;48;7
AA2611;LBA54;35;6.94
AA2615;LBC00;6;6.96
AA2630;LBC54;37;7.01
AA2647;LBA33;26;6.97
AA2649;LBA45;20;6.96
AA2650;LBC40;5;6.97
AA2652;LBA33;45;7.01
AA2653;LBC33;4;7.03
AA2659;LBA14;25;7.03
AA2660;EBC30;17;7
AA2663;LBA56;19;6.94
AA2664;LBC14;23;6.95
AA2667;EBA10;17;6.78
AA2668;EBC15;21;6.93
AA2670;EBC25;33;6.81
AA2673;EBA10;15;6.93
AA2677;LBC48;37;7.02
AA2678;LBA50;37;6.96
AA3180;LBC53;4;6.909
AA3278;LBA48;38;6.967
AA3282;LBC25;41;6.921
AA3302;LBA17;5;7.093
AA3296;EBA31;6;7.061
AA3299;EBC46;43;6.913
AA3313;LBC01;22;6.964
AA3310;EBC53;7;7.017
AA3312;EBA29;29;6.94
AA3311;EBC52;42;7.028
AA3328;EBC52;18;6.888
AA3327;EBC26;33;7.017
AA3315;LBC47;48;7.01
AA3317;LBC47;38;7.133
AA3273;LBA40;20;7.091
AA2850;LBA54;13;7.019
AA2852;LBA50;22;6.99
AA2853;LBA17;20;7.138
AA2854;LBC50;23;7.191
AA2855;LBC47;9;7.253
AA2856;EBC46;23;7.064
AA2861;LBA50;23;7.07
AA2868;LBA57;13;6.971
AA3245;LBA40;29;6.944
AA1792;LBA40;35;7.151
AA2580;LBC47;31;7.074
AA2513;LBA53;20;7.028
AA2543;LBC26;38;7.134
AA2544;LBC48;25;7.201
AA3673;LBA01;48;7.229
AA3674;LBA11;16;7.156
AA3675;LBC47;39;7.16
AA3708;EBC28;2;6.948
AA3710;LBC14;35;7.004
AA3384;EBA63;6;6.899
AA3741;EBA08;6;6.835
AA3698;LBA43;47;7.139
