AA0646;EBC64;18;7.053;701
AA0647;EBA07;12;7.019;742
AA0648;EBC64;15;6.903;717
AA0649;EBC64;41;6.957;733
AA0657;LBA16;42;7.291;691
AA0658;LBC32;43;7.185;670
AA0661;LBC57;20;7.201;663
AA0664;LBC49;11;7.181;685
AA0665;;;6.959;746
AA0667;EBC36;4;7.149;753
AA0670;EBC64;13;7.15;697
AA0672;LBA49;29;7.202;681
AA0673;EBC64;10;7.122;756
AA0674;LBC41;20;7.086;666
AA0675;EBC64;34;7.119;702
AA0676;EBC64;3;7.108;756
AA0681;LBA51;13;-1;691
AA0682;EBC62;4;7.181;730
AA0684;EBA17;6;6.97;700.1
AA0692;EBA44;44;7.011;710
AA0694;LBC49;18;7.239;691
AA0696;EBC64;33;7.165;714
AA0697;LBC60;5;-1;667
AA0701;LBA06;27;7.247;661
AA0703;LBA58;3;7.284;658
AA0705;EBC64;21;7.224;712
AA0710;LBC49;19;7.02;683
AA0711;EBC39;1;7.283;693
AA0712;EBC48;6;7.191;700
AA0717;EBA23;37;7.16;748
AA0720;LBC49;40;6.811;675
AA0723;EBC64;38;7.229;706
AA0729;LBA10;29;7.01;666.8
AA0730;;;6.966;714
AA0734;EBC48;3;7.055;710
AA0735;LBC11;14;7.073;674
AA0737;LBC41;34;7.16;638
AA0740;LBA49;9;7.078;692
AA0741;EBC44;37;7.17;709
AA0742;LBA49;24;7.353;641
AA0743;LBA49;19;7.066;690
AA0744;LBC49;10;7.056;683
AA0745;LBA58;1;6.737;646
AA0746;LBA41;15;7.328;649
AA0750;LBA01;20;7.31;627
AA0751;;;7.167;643
AA0752;EBC64;44;7.079;730
AA0756;LBA16;25;7.503;612
AA0757;LBA49;25;7.45;653
AA0760;EBC34;41;7.157;717
AA0762;LBA27;7;7.312;690
AA0763;LBC19;29;6.781;654
AA0764;LBA10;42;6.817;669
AA0766;LBA51;23;-1;687
AA0776;EBC49;33;6.716;711
AA0777;LBC39;39;6.98;621
AA0781;EBC64;8;6.725;746
AA0782;LBA49;48;6.46;668
AA0783;EBC64;42;6.659;701
AA0784;EBA40;10;6.81;719.3
AA0786;EBA34;10;6.564;760
AA0787;EBC42;4;7.091;734
AA0788;;;6.982;701.125
AA0789;EBC33;43;5.883;747
AA0794;EBC64;24;6.499;725
AA0795;EBA07;5;6.636;703
AA0798;EBA07;22;6.925;738
AA0801;EBC48;8;7.203;737.015
AA0803;;;0;723
AA0804;EBA07;30;7.007;760
AA0805;LBA49;36;7.129;683
AA0806;;;7.235;676
AA0807;LBA30;21;7.328;632
AA0808;EBA50;33;7.156;725
AA0814;EBC49;44;6.492;730
AA0815;;;7.125;721
AA0816;EBA07;6;7.208;699
AA0817;;;7.199;650
