9.850 
9.510 
9.610 
9.790 
9.510 
9.820 
9.780 
9.800 
9.740 
9.880 
9.610 
9.460 
9.750 
9.640 
9.710 
9.820 
10.000 
9.230 
10.000 
9.730 
9.820 
9.640 
9.710 
9.660 
9.790 
9.570 
9.780 
9.880 
10.040 
9.770 
9.730 
9.700 
9.740 
9.640 
9.650 
9.710 
9.570 
10.000 
9.910 
9.780 
10.100 
9.640 
9.790 
9.660 
9.760 
9.730 
9.670 
9.580 
9.830 
9.790 
9.750 
9.650 
9.880 
9.730 
9.750 
9.780 
9.790 
9.600 
9.610 
9.670 
10.010 
9.740 
9.800 
9.540 
2019.11.07 14:15:20.823, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:15:25.855, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:15:30.890, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:15:35.926, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:15:40.970, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:15:46.003, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:15:51.037, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:15:56.073, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:16:01.108, LVPS_13, Reading= 9.8995612429687, Threshold= 9.75
2019.11.07 14:16:06.141, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:16:11.176, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:16:16.211, LVPS_13, Reading= 9.8995612429687, Threshold= 9.75
2019.11.07 14:16:21.245, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:16:26.279, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:16:31.337, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:16:36.398, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:16:41.432, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:16:46.464, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:16:51.495, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:16:56.525, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:17:01.560, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:17:06.593, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:17:11.627, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:17:16.659, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:17:21.711, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:17:26.766, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:17:31.816, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:17:36.860, LVPS_13, Reading= 9.8995612429687, Threshold= 9.75
2019.11.07 14:17:41.894, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:17:46.971, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:17:52.002, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:17:57.038, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:18:02.071, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:18:07.106, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:18:12.142, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:18:17.179, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:18:22.213, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:18:27.248, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:18:32.281, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:18:37.312, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:18:42.349, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:18:47.381, LVPS_13, Reading= 9.9014612667187, Threshold= 9.75
2019.11.07 14:18:52.415, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:18:57.450, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:19:02.485, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:19:07.525, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:19:12.559, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:19:17.595, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:19:22.628, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:19:27.661, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:19:32.693, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:19:37.727, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:19:42.761, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:19:47.794, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:19:52.827, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:19:57.870, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:20:02.912, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:20:07.948, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:20:12.981, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:20:18.012, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:20:23.044, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:20:28.079, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:20:33.114, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
2019.11.07 14:20:38.148, LVPS_13, Reading= 9.8976487190625, Threshold= 9.75
2019.11.07 14:20:43.184, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:20:48.221, LVPS_13, Reading= 9.8938361714062, Threshold= 9.75
