Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2023/01/05 08:39,23.9,37,8.4,23.9
2023/01/05 09:39,23.9,38,8.7,23.9
2023/01/05 10:39,24.0,38,8.8,24.0
2023/01/05 11:39,24.2,38,9.0,24.2
2023/01/05 12:39,24.5,38,9.3,24.5
2023/01/05 13:39,24.8,38,9.6,24.8
2023/01/05 14:39,25.2,38,9.9,25.2
2023/01/05 15:39,25.7,37,10.0,25.7
2023/01/05 16:39,25.9,37,10.1,25.9
2023/01/05 17:39,25.8,37,10.0,25.8
2023/01/05 18:39,25.6,37,9.9,25.6
2023/01/05 19:39,25.3,36,9.2,25.3
2023/01/05 20:39,25.1,36,9.0,25.1
2023/01/05 21:39,24.7,36,8.7,24.7
2023/01/05 22:39,24.3,35,7.9,24.3
2023/01/05 23:39,24.0,35,7.6,24.0
2023/01/06 00:39,23.7,35,7.4,23.7
2023/01/06 01:39,23.7,36,7.8,23.7
2023/01/06 02:39,23.6,36,7.7,23.6
2023/01/06 03:39,23.5,36,7.6,23.5
2023/01/06 04:39,23.5,36,7.6,23.5
2023/01/06 05:39,23.5,37,8.0,23.5
2023/01/06 06:39,23.5,37,8.0,23.5
